Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
"Sat, 25th Jul",de_mirage,16:12,10,12,22,4,-10,58,59,0,0,0,0,0,0,0,0,0.57,13289154,76561198236436482
"Sat, 25th Jul",de_overpass,16:12,10,28,19,3,9,64,93,0,0,0,0,0,0,1,1,1.41,13289153,76561198236436482
"Sat, 25th Jul",de_cache,16:13,10,19,19,4,0,47,68,0,1,0,0,0,0,1,0,0.99,13289163,76561198236436482
"Fri, 24th Jul",de_dust2,14:16,10,20,26,4,-6,40,76,0,0,0,0,0,0,0,2,0.8,13289160,76561198236436482
"Fri, 24th Jul",de_train,16:14,10,10,25,6,-15,50,49,0,0,0,0,0,0,0,0,0.47,13193043,76561198236436482
"Fri, 24th Jul",de_cache,10:16,10,19,18,3,1,63,91,0,0,0,0,0,0,1,0,1.09,13289147,76561198236436482
"Fri, 24th Jul",de_inferno,16:8,10,22,16,6,6,68,102,0,0,0,0,0,0,1,2,1.44,13289145,76561198236436482
"Fri, 24th Jul",de_cache,16:12,10,22,17,0,5,36,66,0,0,1,1,0,0,0,2,1.14,13289144,76561198236436482
"Thu, 23rd Jul",de_train,16:10,10,17,18,3,-1,41,72,0,0,0,0,0,0,0,0,0.86,13289142,76561198236436482
"Thu, 23rd Jul",de_mirage,16:13,10,24,20,1,4,54,72,0,0,0,0,0,0,1,1,1.25,13289148,76561198236436482
"Thu, 23rd Jul",de_cache,14:16,9,19,21,4,-2,42,80,0,0,0,0,1,0,0,2,0.97,13220757,76561198236436482
"Thu, 23rd Jul",de_nuke,14:16,9,21,21,3,0,48,78,0,0,0,0,0,0,0,0,0.97,13289140,76561198236436482
"Thu, 23rd Jul",de_inferno,16:5,9,17,12,5,5,65,87,0,0,0,0,1,0,1,0,1.25,13289136,76561198236436482
"Wed, 22nd Jul",de_dust2,10:16,9,11,21,5,-10,27,58,0,0,0,0,0,0,0,0,0.58,13065136,76561198236436482
